Service category,Procedure,Statewide indicator,Hospital,Number of discharges 2018,25th percentile 2018,Median 2018,"75th percentile, 2018",Number of discharges 2017,25th percentile 2017,Median 2017,75th percentile 2017,Difference in medians,Percent difference from 2017
Diagnostic Imaging and Testing,MRI: Extremities,0,Blue Mountain Hosp,24,1566,1617,1617,25,1600,1617,1902,0,0
Diagnostic Imaging and Testing,MRI: Extremities,0,Columbia Mem Hosp,79,1804,1926,1926,80,1804,1926,1946,0,0
Diagnostic Imaging and Testing,MRI: Extremities,0,Curry Gen Hosp,27,1771,1870,2124,39,1703,1789,2232,81,0.045
Diagnostic Imaging and Testing,MRI: Extremities,0,Good Samaritan Regional Med Ctr,30,984,1089,1592,18,967,1067,1643,22,0.021
Diagnostic Imaging and Testing,MRI: Extremities,0,Good Shepherd Med Ctr,18,1215,2233,2859,64,2554,2859,3142,-626,-0.219
Diagnostic Imaging and Testing,MRI: Extremities,0,Grande Ronde Hosp,122,2059,2213,2306,143,1896,1977,2039,236,0.119
Diagnostic Imaging and Testing,MRI: Extremities,0,Harney District Hosp,25,1727,1791,1850,21,1727,1837,2053,-46,-0.025
Diagnostic Imaging and Testing,MRI: Extremities,0,Kaiser Sunnyside Med Ctr,1988,832,958,958,1739,810,832,832,126,0.151
Diagnostic Imaging and Testing,MRI: Extremities,0,Kaiser Westside Med Ctr,732,832,958,958,725,810,832,832,126,0.151
Diagnostic Imaging and Testing,MRI: Extremities,0,Lake District Hosp,21,1893,1940,2007,18,1820,1851,1893,89,0.048
Diagnostic Imaging and Testing,MRI: Extremities,0,Legacy Emanuel Med Ctr,148,767,1035,1070,148,736,970,1035,65,0.067
Diagnostic Imaging and Testing,MRI: Extremities,0,Legacy Good Samaritan Med Ctr,212,754,959,1070,188,699,831,972,128,0.154
Diagnostic Imaging and Testing,MRI: Extremities,0,Legacy Meridian Park Med Ctr,255,744,970,1070,204,744,877,1035,93,0.106
Diagnostic Imaging and Testing,MRI: Extremities,0,Legacy Mount Hood Med Ctr,103,754,984,1070,86,699,831,1035,153,0.184
Diagnostic Imaging and Testing,MRI: Extremities,0,Legacy Silverton Med Ctr,92,399,533,658,97,482,527,639,6,0.011
Diagnostic Imaging and Testing,MRI: Extremities,0,McKenzie-Willamette Med Ctr,11,541,632,838,12,876,923,1390,-291,-0.315
Diagnostic Imaging and Testing,MRI: Extremities,0,Mercy Med Ctr,191,1118,1180,1839,194,993,1120,1618,60,0.054
Diagnostic Imaging and Testing,MRI: Extremities,0,Mid-Columbia Med Ctr,89,1328,1862,1943,73,1045,1516,1601,346,0.228
Diagnostic Imaging and Testing,MRI: Extremities,0,OHSU Hosp,707,793,1105,1160,587,774,1036,1133,69,0.067
Diagnostic Imaging and Testing,MRI: Extremities,0,PeaceHealth Peace Harbor Med Ctr,36,1346,1413,1748,32,1298,1371,1642,42,0.031
Diagnostic Imaging and Testing,MRI: Extremities,0,Pioneer Mem Hosp-Heppner,12,1420,2711,2846,,,,,,
Diagnostic Imaging and Testing,MRI: Extremities,0,Providence Hood River Mem Hosp,107,1258,1276,1489,125,1282,1282,1457,-6,-0.005
Diagnostic Imaging and Testing,MRI: Extremities,0,Providence Milwaukie Hosp,274,311,317,538,227,297,298,485,19,0.064
Diagnostic Imaging and Testing,MRI: Extremities,0,Providence Newberg Med Ctr,254,356,356,629,232,352,353,800,3,0.008
Diagnostic Imaging and Testing,MRI: Extremities,0,Providence Portland Med Ctr,870,311,317,451,897,297,298,485,19,0.064
Diagnostic Imaging and Testing,MRI: Extremities,0,Providence Seaside Hosp,36,215,1176,1200,50,215,1188,1200,-12,-0.01
Diagnostic Imaging and Testing,MRI: Extremities,0,Providence St Vincent Med Ctr,183,317,328,577,183,297,298,526,30,0.101
Diagnostic Imaging and Testing,MRI: Extremities,0,Providence Willamette Falls Med Ctr,338,317,317,500,371,297,298,485,19,0.064
Diagnostic Imaging and Testing,MRI: Extremities,0,Salem Health Salem Hosp,145,615,634,634,131,482,482,755,152,0.315
Diagnostic Imaging and Testing,MRI: Extremities,0,Salem Health West Valley Hosp,35,823,1106,1106,31,482,876,876,230,0.263
Diagnostic Imaging and Testing,MRI: Extremities,0,Samaritan Albany Gen Hosp,141,812,968,1189,145,785,936,1592,32,0.034
Diagnostic Imaging and Testing,MRI: Extremities,0,Samaritan North Lincoln Hosp,36,1608,1643,1643,23,1575,1609,1643,34,0.021
Diagnostic Imaging and Testing,MRI: Extremities,0,Samaritan Pacific Comm Hosp,58,1575,1609,1643,59,1530,1608,1643,1,0.001
Diagnostic Imaging and Testing,MRI: Extremities,0,Santiam Hosp,61,931,1040,1040,56,983,1010,1168,30,0.03
Diagnostic Imaging and Testing,MRI: Extremities,0,Sky Lakes Med Ctr,181,1332,1498,1498,174,1332,1469,1781,29,0.02
Diagnostic Imaging and Testing,MRI: Extremities,0,St Alphonsus Med Ctr-Baker City,44,1670,2093,2126,35,1670,2093,2126,0,0
Diagnostic Imaging and Testing,MRI: Extremities,0,St Alphonsus Med Ctr-Ontario,75,1589,1750,1769,73,901,1669,1669,81,0.049
Diagnostic Imaging and Testing,MRI: Extremities,0,St Anthony Hospital,92,2678,2764,2812,102,2550,2632,2678,132,0.05
Diagnostic Imaging and Testing,MRI: Extremities,0,St Charles Med Ctr-Bend,13,696,832,1156,,,,,,
Diagnostic Imaging and Testing,MRI: Extremities,0,St Charles Med Ctr-Prineville,15,936,1935,1975,14,1131,1860,2029,75,0.04
Diagnostic Imaging and Testing,MRI: Extremities,0,Tuality Comm Hosp,147,536,742,906,154,447,816,899,-74,-0.091
Diagnostic Imaging and Testing,MRI: Extremities,0,Wallowa Mem Hosp,32,2306,2354,2444,33,2242,2306,2354,48,0.021
Diagnostic Imaging and Testing,MRI: Extremities,0,Willamette Valley Med Ctr,135,679,744,1091,141,665,729,1068,15,0.021
Diagnostic Imaging and Testing,MRI: Head and neck,1,Statewide,3855,773,886,1737,3598,752,773,1796,113,0.146
Diagnostic Imaging and Testing,MRI: Head and neck,0,Adventist Med Ctr,33,449,642,1074,30,429,651,671,-9,-0.014
Diagnostic Imaging and Testing,MRI: Head and neck,0,Adventist Tillamook Reg Med Ctr,12,1397,1594,1602,,,,,,
Diagnostic Imaging and Testing,MRI: Head and neck,0,Asante Rogue Valley Med Ctr,42,909,938,2087,40,832,1044,2033,-106,-0.102
Diagnostic Imaging and Testing,MRI: Head and neck,0,Asante Three Rivers Med Ctr,27,663,887,2127,28,852,1066,2088,-179,-0.168
Diagnostic Imaging and Testing,MRI: Head and neck,0,Good Samaritan Regional Med Ctr,22,993,1837,2356,,,,,,
Diagnostic Imaging and Testing,MRI: Head and neck,0,Good Shepherd Med Ctr,15,2732,2884,2897,19,2721,2721,2884,163,0.06
Diagnostic Imaging and Testing,MRI: Head and neck,0,Grande Ronde Hosp,22,2215,2306,2306,22,2040,2128,2215,178,0.084
Diagnostic Imaging and Testing,MRI: Head and neck,0,Kaiser Sunnyside Med Ctr,1178,773,886,2401,1081,752,773,2352,113,0.146
Diagnostic Imaging and Testing,MRI: Head and neck,0,Kaiser Westside Med Ctr,512,773,886,2401,465,752,773,2080,113,0.146
Diagnostic Imaging and Testing,MRI: Head and neck,0,Legacy Emanuel Med Ctr,96,713,1121,1778,106,699,1129,1881,-8,-0.007
Diagnostic Imaging and Testing,MRI: Head and neck,0,Legacy Good Samaritan Med Ctr,51,713,1167,1708,43,726,945,1484,222,0.235
Diagnostic Imaging and Testing,MRI: Head and neck,0,Legacy Meridian Park Med Ctr,79,713,1129,1945,58,699,974,1707,155,0.159
Diagnostic Imaging and Testing,MRI: Head and neck,0,Legacy Mount Hood Med Ctr,37,713,1167,2012,29,699,945,1707,222,0.235
Diagnostic Imaging and Testing,MRI: Head and neck,0,Legacy Silverton Med Ctr,11,639,916,927,10,656,856,897,60,0.07
Diagnostic Imaging and Testing,MRI: Head and neck,0,McKenzie-Willamette Med Ctr,21,284,632,2420,12,923,2417,2479,-1785,-0.739
Diagnostic Imaging and Testing,MRI: Head and neck,0,Mercy Med Ctr,60,1140,1924,2333,54,937,1120,1861,804,0.718
Diagnostic Imaging and Testing,MRI: Head and neck,0,Mid-Columbia Med Ctr,12,884,1991,2043,,,,,,
Diagnostic Imaging and Testing,MRI: Head and neck,0,OHSU Hosp,507,703,1185,1587,480,679,1111,1598,74,0.067
Diagnostic Imaging and Testing,MRI: Head and neck,0,PeaceHealth Peace Harbor Med Ctr,10,1651,1677,1734,,,,,,
Diagnostic Imaging and Testing,MRI: Head and neck,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,10,685,841,920,14,511,854,928,-13,-0.015
Diagnostic Imaging and Testing,MRI: Head and neck,0,Providence Hood River Mem Hosp,13,1527,1535,1883,,,,,,
Diagnostic Imaging and Testing,MRI: Head and neck,0,Providence Milwaukie Hosp,57,321,500,694,67,333,586,852,-86,-0.147
Diagnostic Imaging and Testing,MRI: Head and neck,0,Providence Newberg Med Ctr,42,331,387,1222,55,328,614,1800,-227,-0.37
Diagnostic Imaging and Testing,MRI: Head and neck,0,Providence Portland Med Ctr,243,295,366,694,261,276,485,821,-119,-0.245
Diagnostic Imaging and Testing,MRI: Head and neck,0,Providence St Vincent Med Ctr,301,366,612,873,297,276,485,852,127,0.262
Diagnostic Imaging and Testing,MRI: Head and neck,0,Providence Willamette Falls Med Ctr,46,304,500,694,44,276,566,852,-66,-0.117
Diagnostic Imaging and Testing,MRI: Head and neck,0,Salem Health Salem Hosp,77,659,821,1138,59,482,755,984,66,0.087
Diagnostic Imaging and Testing,MRI: Head and neck,0,Salem Health West Valley Hosp,12,1151,1228,2119,,,,,,
Diagnostic Imaging and Testing,MRI: Head and neck,0,Samaritan Albany Gen Hosp,33,966,968,1837,54,785,1020,1837,-52,-0.051
Diagnostic Imaging and Testing,MRI: Head and neck,0,Samaritan Pacific Comm Hosp,16,1790,1837,1837,16,1477,1837,1837,0,0
Diagnostic Imaging and Testing,MRI: Head and neck,0,Santiam Hosp,25,128,1070,1776,18,617,1543,1724,-473,-0.307
Diagnostic Imaging and Testing,MRI: Head and neck,0,Sky Lakes Med Ctr,23,1236,1498,2456,20,1416,1469,2729,29,0.02
Diagnostic Imaging and Testing,MRI: Head and neck,0,St Alphonsus Med Ctr-Ontario,11,1781,1889,1889,,,,,,
Diagnostic Imaging and Testing,MRI: Head and neck,0,St Anthony Hospital,24,2632,2778,2917,13,2645,2645,2778,133,0.05
Diagnostic Imaging and Testing,MRI: Head and neck,0,Tuality Comm Hosp,53,536,832,906,30,515,824,899,8,0.01
Diagnostic Imaging and Testing,MRI: Head and neck,0,Willamette Valley Med Ctr,34,690,717,1288,20,665,977,1435,-260,-0.266
Diagnostic Imaging and Testing,MRI: Spine,1,Statewide,10381,713,961,1795,10304,677,888,1708,73,0.082
Diagnostic Imaging and Testing,MRI: Spine,0,Adventist Med Ctr,178,449,672,1218,179,651,671,1229,1,0.001
Diagnostic Imaging and Testing,MRI: Spine,0,Adventist Tillamook Reg Med Ctr,67,1565,1736,2794,50,1289,1586,1976,150,0.095
Diagnostic Imaging and Testing,MRI: Spine,0,Asante Rogue Valley Med Ctr,186,909,1044,2087,175,832,1066,2087,-22,-0.021
Diagnostic Imaging and Testing,MRI: Spine,0,Asante Three Rivers Med Ctr,175,873,1044,2124,163,840,1066,2149,-22,-0.021
Diagnostic Imaging and Testing,MRI: Spine,0,Blue Mountain Hosp,26,2004,2089,2156,24,2004,2111,2134,-22,-0.01
Diagnostic Imaging and Testing,MRI: Spine,0,Columbia Mem Hosp,68,1606,1699,2966,70,1699,1733,3030,-34,-0.02
Diagnostic Imaging and Testing,MRI: Spine,0,Coquille Valley Hosp,10,1859,1888,1973,,,,,,
Diagnostic Imaging and Testing,MRI: Spine,0,Curry Gen Hosp,38,2149,2426,2578,34,2217,2320,2449,106,0.046
Diagnostic Imaging and Testing,MRI: Spine,0,Good Samaritan Regional Med Ctr,51,984,1818,2356,26,1011,1825,3482,-7,-0.004
Diagnostic Imaging and Testing,MRI: Spine,0,Good Shepherd Med Ctr,100,3084,3097,3273,126,2909,2917,3088,180,0.062
Diagnostic Imaging and Testing,MRI: Spine,0,Grande Ronde Hosp,103,2273,2371,3001,129,2188,2278,3357,93,0.041
Diagnostic Imaging and Testing,MRI: Spine,0,Harney District Hosp,21,1690,1884,2102,30,1745,2054,2441,-170,-0.083
Diagnostic Imaging and Testing,MRI: Spine,0,Kaiser Sunnyside Med Ctr,2273,741,850,1508,2131,719,739,1454,111,0.15
Diagnostic Imaging and Testing,MRI: Spine,0,Kaiser Westside Med Ctr,939,739,850,1490,893,719,734,1433,116,0.158
Diagnostic Imaging and Testing,MRI: Spine,0,Lake District Hosp,21,1814,1905,1922,22,1814,1814,1879,91,0.05
Diagnostic Imaging and Testing,MRI: Spine,0,Legacy Emanuel Med Ctr,247,1118,1642,2298,245,849,1331,2634,311,0.234
Diagnostic Imaging and Testing,MRI: Spine,0,Legacy Good Samaritan Med Ctr,187,727,1242,1642,182,699,1082,1318,160,0.148
Diagnostic Imaging and Testing,MRI: Spine,0,Legacy Meridian Park Med Ctr,270,713,1118,1401,292,699,983,1332,135,0.137
Diagnostic Imaging and Testing,MRI: Spine,0,Legacy Mount Hood Med Ctr,127,713,1118,1708,122,663,985,1550,133,0.135
Diagnostic Imaging and Testing,MRI: Spine,0,Legacy Silverton Med Ctr,86,718,786,982,60,694,759,892,27,0.036
Diagnostic Imaging and Testing,MRI: Spine,0,McKenzie-Willamette Med Ctr,21,272,632,2414,26,272,800,1212,-168,-0.21
Diagnostic Imaging and Testing,MRI: Spine,0,Mercy Med Ctr,219,1113,2144,2604,268,896,1168,2075,976,0.836
Diagnostic Imaging and Testing,MRI: Spine,0,Mid-Columbia Med Ctr,69,1479,1962,2190,61,1352,1962,2259,0,0
Diagnostic Imaging and Testing,MRI: Spine,0,OHSU Hosp,1084,1138,1629,2600,1031,1032,1580,2597,49,0.031
Diagnostic Imaging and Testing,MRI: Spine,0,PeaceHealth Peace Harbor Med Ctr,12,1795,1853,1885,27,1708,1794,1829,59,0.033
Diagnostic Imaging and Testing,MRI: Spine,0,Pioneer Mem Hosp-Heppner,13,2711,2847,2967,,,,,,
Diagnostic Imaging and Testing,MRI: Spine,0,Providence Hood River Mem Hosp,99,1343,1349,1772,100,843,1356,1662,-7,-0.005
Diagnostic Imaging and Testing,MRI: Spine,0,Providence Milwaukie Hosp,272,280,397,694,298,263,466,852,-69,-0.148
Diagnostic Imaging and Testing,MRI: Spine,0,Providence Newberg Med Ctr,272,314,318,822,290,311,314,634,4,0.013
Diagnostic Imaging and Testing,MRI: Spine,0,Providence Portland Med Ctr,915,282,367,694,967,264,396,700,-29,-0.073
Diagnostic Imaging and Testing,MRI: Spine,0,Providence Seaside Hosp,55,465,2127,2287,56,1931,2148,2283,-21,-0.01
Diagnostic Imaging and Testing,MRI: Spine,0,Providence St Vincent Med Ctr,582,310,506,993,605,264,467,852,39,0.084
Diagnostic Imaging and Testing,MRI: Spine,0,Providence Willamette Falls Med Ctr,329,282,485,708,356,264,467,773,18,0.039
Diagnostic Imaging and Testing,MRI: Spine,0,Salem Health Salem Hosp,208,525,842,1167,206,482,764,1402,78,0.102
Diagnostic Imaging and Testing,MRI: Spine,0,Salem Health West Valley Hosp,31,899,960,1497,22,482,887,935,73,0.082
Diagnostic Imaging and Testing,MRI: Spine,0,Samaritan Albany Gen Hosp,177,966,968,1763,122,936,1021,1763,-53,-0.052
Diagnostic Imaging and Testing,MRI: Spine,0,Samaritan Lebanon Comm Hosp,18,1590,1745,2991,12,1590,2214,3514,-469,-0.212
Diagnostic Imaging and Testing,MRI: Spine,0,Samaritan North Lincoln Hosp,34,1641,1763,2959,36,1590,1727,2385,36,0.021
Diagnostic Imaging and Testing,MRI: Spine,0,Samaritan Pacific Comm Hosp,61,1590,1642,1763,70,1557,1727,1883,-85,-0.049
Diagnostic Imaging and Testing,MRI: Spine,0,Santiam Hosp,70,1299,1802,2646,101,1187,1749,1885,53,0.03
Diagnostic Imaging and Testing,MRI: Spine,0,Sky Lakes Med Ctr,148,1332,1498,2373,154,1416,1469,2441,29,0.02
Diagnostic Imaging and Testing,MRI: Spine,0,Southern Coos Hosp and Hlth Ctr,10,1801,1925,1931,,,,,,
Diagnostic Imaging and Testing,MRI: Spine,0,St Alphonsus Med Ctr-Baker City,25,2301,2325,2350,31,1530,2126,2350,199,0.094
Diagnostic Imaging and Testing,MRI: Spine,0,St Alphonsus Med Ctr-Ontario,40,779,1818,1888,34,754,1716,1888,102,0.059
Diagnostic Imaging and Testing,MRI: Spine,0,St Anthony Hospital,79,2744,2815,2956,87,2680,2680,2815,135,0.05
Diagnostic Imaging and Testing,MRI: Spine,0,St Charles Med Ctr-Bend,16,1072,1667,1985,27,988,1644,4294,23,0.014
Diagnostic Imaging and Testing,MRI: Spine,0,Tuality Comm Hosp,156,703,906,1842,148,397,816,1639,90,0.11
Diagnostic Imaging and Testing,MRI: Spine,0,Wallowa Mem Hosp,35,2464,2502,2611,23,2382,2450,2502,52,0.021
Diagnostic Imaging and Testing,MRI: Spine,0,Willamette Valley Med Ctr,131,679,744,1216,137,665,790,1624,-46,-0.058
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,1,Statewide,2096,1566,2330,3693,2040,1110,2234,3759,96,0.043
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Adventist Med Ctr,24,2322,3186,3186,27,2165,3233,3282,-47,-0.015
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Asante Rogue Valley Med Ctr,109,3693,4856,4937,121,3236,4196,4315,660,0.157
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Asante Three Rivers Med Ctr,78,3435,4239,4517,62,3825,4233,4353,6,0.001
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Coquille Valley Hosp,11,2746,3463,3463,,,,,,
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Curry Gen Hosp,22,1953,2487,2745,20,2386,2487,2625,0,0
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Good Samaritan Regional Med Ctr,50,3227,3408,3408,54,3104,3161,3336,247,0.078
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Grande Ronde Hosp,38,2134,3906,4066,42,3745,3906,3906,0,0
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Kaiser Sunnyside Med Ctr,285,2022,2022,2330,260,1381,1983,2022,39,0.02
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Kaiser Westside Med Ctr,182,1068,2022,2330,198,930,2022,2394,0,0
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Legacy Emanuel Med Ctr,30,2357,2885,2933,28,2318,2864,3823,21,0.007
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Legacy Good Samaritan Med Ctr,62,2621,3422,3953,49,2318,2837,3440,585,0.206
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Legacy Meridian Park Med Ctr,36,2350,2933,3693,36,2330,2781,3523,152,0.055
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Legacy Mount Hood Med Ctr,16,1541,2357,3157,,,,,,
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Legacy Silverton Med Ctr,31,1307,1786,1938,27,1634,1786,1960,0,0
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,McKenzie-Willamette Med Ctr,29,2231,2623,3272,35,2252,4418,6587,-1795,-0.406
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Mercy Med Ctr,105,2662,3338,4662,78,2662,3140,3936,198,0.063
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,OHSU Hosp,45,1866,2270,3020,36,1362,1879,2296,391,0.208
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,192,1835,3547,4489,177,1700,4306,4306,-759,-0.176
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Providence Hood River Mem Hosp,13,2671,3050,3352,,,,,,
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Providence Medford Med Ctr,39,476,2772,3625,39,476,3113,4176,-341,-0.11
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Providence Newberg Med Ctr,42,1117,1121,2224,45,1110,1110,2239,11,0.01
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Providence Portland Med Ctr,180,1034,1064,2234,191,1005,1022,2446,42,0.041
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Providence St Vincent Med Ctr,159,1034,1091,2591,179,1005,1022,2446,69,0.068
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Providence Willamette Falls Med Ctr,55,995,1023,2054,40,976,984,2121,39,0.04
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Salem Health Salem Hosp,37,1703,3173,3288,23,1347,1637,2944,1536,0.938
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Samaritan Albany Gen Hosp,11,2119,2119,3286,19,1947,2075,3161,44,0.021
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Samaritan Lebanon Comm Hosp,19,2670,3019,3166,20,2891,3104,3104,-85,-0.027
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Samaritan North Lincoln Hosp,18,2670,3007,3166,19,2891,3040,3104,-33,-0.011
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Santiam Hosp,23,2808,3138,3267,13,2726,2726,3015,412,0.151
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Sky Lakes Med Ctr,71,3148,6249,6321,85,4772,5976,6079,273,0.046
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,St Alphonsus Med Ctr-Ontario,10,3810,3928,4179,,,,,,
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,St Anthony Hospital,19,2933,3506,3683,,,,,,
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Tuality Comm Hosp,10,632,3370,3370,17,1090,1308,2002,2062,1.576
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,1,Statewide,909,625,1073,1571,984,672,1114,1696,-41,-0.037
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Asante Rogue Valley Med Ctr,33,991,1269,1555,27,1049,1227,1684,42,0.034
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Asante Three Rivers Med Ctr,12,1006,1269,5390,15,914,1238,1568,31,0.025
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Good Samaritan Regional Med Ctr,13,253,892,1216,30,686,1085,2098,-193,-0.178
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Grande Ronde Hosp,12,352,701,876,11,307,702,1010,-1,-0.001
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Kaiser Sunnyside Med Ctr,59,1276,1398,1600,64,1114,1398,1713,0,0
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Kaiser Westside Med Ctr,51,1276,1398,1730,51,1090,1114,1696,284,0.255
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Legacy Good Samaritan Med Ctr,62,912,1369,1948,45,1155,1211,1865,158,0.13
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Legacy Meridian Park Med Ctr,29,307,1129,1520,26,1069,1205,3058,-76,-0.063
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Mercy Med Ctr,32,85,666,1493,14,800,1113,3041,-447,-0.402
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,OHSU Hosp,39,854,1058,1351,50,674,1021,1231,37,0.036
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,76,1032,1564,3309,74,1024,1622,1622,-58,-0.036
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Providence Hood River Mem Hosp,11,628,1689,1840,,,,,,
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Providence Portland Med Ctr,174,482,703,1269,174,621,1044,1406,-341,-0.327
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Providence St Vincent Med Ctr,131,425,664,1244,155,554,635,1346,29,0.046
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Providence Willamette Falls Med Ctr,17,585,625,1034,12,401,493,659,132,0.268
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Salem Health Salem Hosp,47,623,877,1206,19,474,1087,1489,-210,-0.193
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Tuality Comm Hosp,14,807,1051,1363,17,602,683,1417,368,0.539
Diagnostic Imaging and Testing,Nuclear medicine: GI,1,Statewide,1675,890,1280,1628,1560,819,1217,1514,63,0.052
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Adventist Med Ctr,10,797,797,1144,,,,,,
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Asante Rogue Valley Med Ctr,63,1269,1411,1599,41,1219,1388,1500,23,0.017
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Asante Three Rivers Med Ctr,45,1269,1334,1570,42,1388,1536,1595,-202,-0.132
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Columbia Mem Hosp,11,2718,4211,4400,,,,,,
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Good Samaritan Regional Med Ctr,39,1280,1628,1884,35,1116,1238,1707,390,0.315
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Good Shepherd Med Ctr,14,1502,1702,1702,22,1416,1702,1702,0,0
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Grande Ronde Hosp,22,1122,1181,1232,23,1090,1135,1184,46,0.041
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Kaiser Sunnyside Med Ctr,169,1514,1734,1750,156,1498,1514,1530,220,0.145
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Kaiser Westside Med Ctr,198,1514,1734,1750,192,1514,1514,2038,220,0.145
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Legacy Emanuel Med Ctr,28,1070,1275,1412,25,819,1032,1304,243,0.235
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Legacy Good Samaritan Med Ctr,27,853,1185,1391,44,813,1094,1327,91,0.083
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Legacy Meridian Park Med Ctr,49,1008,1185,1412,36,1033,1323,1365,-138,-0.104
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Legacy Mount Hood Med Ctr,12,731,1118,1391,17,1030,1146,1365,-28,-0.024
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Legacy Silverton Med Ctr,13,818,866,1120,18,642,864,938,2,0.002
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,McKenzie-Willamette Med Ctr,12,1233,1244,2015,11,770,1562,1665,-318,-0.204
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Mercy Med Ctr,38,1208,1279,1534,42,1176,1389,1639,-110,-0.079
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,OHSU Hosp,68,938,985,1116,40,879,976,1040,9,0.009
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,104,876,1054,1229,97,834,1177,1259,-123,-0.105
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Providence Hood River Mem Hosp,12,418,742,1555,,,,,,
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Providence Medford Med Ctr,30,483,1386,1474,36,674,1291,1650,95,0.074
