Service category,Procedure,Statewide indicator,Hospital,Number of discharges 2018,25th percentile 2018,Median 2018,"75th percentile, 2018"
Diagnostic Imaging and Testing,MRI w contrast: Spine,0,Asante Rogue Valley Med Ctr,13,1786,3052,3466
Diagnostic Imaging and Testing,MRI w contrast: Spine,0,Asante Three Rivers Med Ctr,10,1303,1415,1733
Diagnostic Imaging and Testing,MRI w contrast: Spine,0,Columbia Mem Hosp,13,3819,3901,3901
Diagnostic Imaging and Testing,MRI w contrast: Spine,0,Kaiser Sunnyside Med Ctr,150,1788,1788,1934
Diagnostic Imaging and Testing,MRI w contrast: Spine,0,Kaiser Westside Med Ctr,59,1788,1934,1934
Diagnostic Imaging and Testing,MRI w contrast: Spine,0,Legacy Emanuel Med Ctr,31,1658,2549,3503
Diagnostic Imaging and Testing,MRI w contrast: Spine,0,Legacy Good Samaritan Med Ctr,73,1771,2192,3059
Diagnostic Imaging and Testing,MRI w contrast: Spine,0,Legacy Meridian Park Med Ctr,16,1699,1966,2866
Diagnostic Imaging and Testing,MRI w contrast: Spine,0,Legacy Mount Hood Med Ctr,19,1650,2940,5500
Diagnostic Imaging and Testing,MRI w contrast: Spine,0,Mercy Med Ctr,18,2726,3305,4958
Diagnostic Imaging and Testing,MRI w contrast: Spine,0,OHSU Hosp,270,1381,1933,2379
Diagnostic Imaging and Testing,MRI w contrast: Spine,0,Providence Milwaukie Hosp,19,723,896,1108
Diagnostic Imaging and Testing,MRI w contrast: Spine,0,Providence Portland Med Ctr,74,718,737,1311
Diagnostic Imaging and Testing,MRI w contrast: Spine,0,Providence St Vincent Med Ctr,116,737,983,1790
Diagnostic Imaging and Testing,MRI w contrast: Spine,0,Salem Health Salem Hosp,19,977,1215,1456
Diagnostic Imaging and Testing,MRI: Extremities,1,Statewide,8660,644,957,1160
Diagnostic Imaging and Testing,MRI: Extremities,0,Adventist Med Ctr,154,449,655,672
Diagnostic Imaging and Testing,MRI: Extremities,0,Adventist Tillamook Reg Med Ctr,30,1565,1661,1804
Diagnostic Imaging and Testing,MRI: Extremities,0,Asante Rogue Valley Med Ctr,109,909,938,1044
Diagnostic Imaging and Testing,MRI: Extremities,0,Asante Three Rivers Med Ctr,143,846,873,1044
Diagnostic Imaging and Testing,MRI: Extremities,0,Blue Mountain Hosp,24,1566,1617,1617
Diagnostic Imaging and Testing,MRI: Extremities,0,Columbia Mem Hosp,79,1804,1926,1926
Diagnostic Imaging and Testing,MRI: Extremities,0,Curry Gen Hosp,27,1771,1870,2124
Diagnostic Imaging and Testing,MRI: Extremities,0,Good Samaritan Regional Med Ctr,30,984,1089,1592
Diagnostic Imaging and Testing,MRI: Extremities,0,Good Shepherd Med Ctr,18,1215,2233,2859
Diagnostic Imaging and Testing,MRI: Extremities,0,Grande Ronde Hosp,122,2059,2213,2306
Diagnostic Imaging and Testing,MRI: Extremities,0,Harney District Hosp,25,1727,1791,1850
Diagnostic Imaging and Testing,MRI: Extremities,0,Kaiser Sunnyside Med Ctr,1988,832,958,958
Diagnostic Imaging and Testing,MRI: Extremities,0,Kaiser Westside Med Ctr,732,832,958,958
Diagnostic Imaging and Testing,MRI: Extremities,0,Lake District Hosp,21,1893,1940,2007
Diagnostic Imaging and Testing,MRI: Extremities,0,Legacy Emanuel Med Ctr,148,767,1035,1070
Diagnostic Imaging and Testing,MRI: Extremities,0,Legacy Good Samaritan Med Ctr,212,754,959,1070
Diagnostic Imaging and Testing,MRI: Extremities,0,Legacy Meridian Park Med Ctr,255,744,970,1070
Diagnostic Imaging and Testing,MRI: Extremities,0,Legacy Mount Hood Med Ctr,103,754,984,1070
Diagnostic Imaging and Testing,MRI: Extremities,0,Legacy Silverton Med Ctr,92,399,533,658
Diagnostic Imaging and Testing,MRI: Extremities,0,McKenzie-Willamette Med Ctr,11,541,632,838
Diagnostic Imaging and Testing,MRI: Extremities,0,Mercy Med Ctr,191,1118,1180,1839
Diagnostic Imaging and Testing,MRI: Extremities,0,Mid-Columbia Med Ctr,89,1328,1862,1943
Diagnostic Imaging and Testing,MRI: Extremities,0,OHSU Hosp,707,793,1105,1160
Diagnostic Imaging and Testing,MRI: Extremities,0,PeaceHealth Peace Harbor Med Ctr,36,1346,1413,1748
Diagnostic Imaging and Testing,MRI: Extremities,0,Pioneer Mem Hosp-Heppner,12,1420,2711,2846
Diagnostic Imaging and Testing,MRI: Extremities,0,Providence Hood River Mem Hosp,107,1258,1276,1489
Diagnostic Imaging and Testing,MRI: Extremities,0,Providence Milwaukie Hosp,274,311,317,538
Diagnostic Imaging and Testing,MRI: Extremities,0,Providence Newberg Med Ctr,254,356,356,629
Diagnostic Imaging and Testing,MRI: Extremities,0,Providence Portland Med Ctr,870,311,317,451
Diagnostic Imaging and Testing,MRI: Extremities,0,Providence Seaside Hosp,36,215,1176,1200
Diagnostic Imaging and Testing,MRI: Extremities,0,Providence St Vincent Med Ctr,183,317,328,577
Diagnostic Imaging and Testing,MRI: Extremities,0,Providence Willamette Falls Med Ctr,338,317,317,500
Diagnostic Imaging and Testing,MRI: Extremities,0,Salem Health Salem Hosp,145,615,634,634
Diagnostic Imaging and Testing,MRI: Extremities,0,Salem Health West Valley Hosp,35,823,1106,1106
Diagnostic Imaging and Testing,MRI: Extremities,0,Samaritan Albany Gen Hosp,141,812,968,1189
Diagnostic Imaging and Testing,MRI: Extremities,0,Samaritan North Lincoln Hosp,36,1608,1643,1643
Diagnostic Imaging and Testing,MRI: Extremities,0,Samaritan Pacific Comm Hosp,58,1575,1609,1643
Diagnostic Imaging and Testing,MRI: Extremities,0,Santiam Hosp,61,931,1040,1040
Diagnostic Imaging and Testing,MRI: Extremities,0,Sky Lakes Med Ctr,181,1332,1498,1498
Diagnostic Imaging and Testing,MRI: Extremities,0,St Alphonsus Med Ctr-Baker City,44,1670,2093,2126
Diagnostic Imaging and Testing,MRI: Extremities,0,St Alphonsus Med Ctr-Ontario,75,1589,1750,1769
Diagnostic Imaging and Testing,MRI: Extremities,0,St Anthony Hospital,92,2678,2764,2812
Diagnostic Imaging and Testing,MRI: Extremities,0,St Charles Med Ctr-Bend,13,696,832,1156
Diagnostic Imaging and Testing,MRI: Extremities,0,St Charles Med Ctr-Prineville,15,936,1935,1975
Diagnostic Imaging and Testing,MRI: Extremities,0,Tuality Comm Hosp,147,536,742,906
Diagnostic Imaging and Testing,MRI: Extremities,0,Wallowa Mem Hosp,32,2306,2354,2444
Diagnostic Imaging and Testing,MRI: Extremities,0,Willamette Valley Med Ctr,135,679,744,1091
Diagnostic Imaging and Testing,MRI: Head and neck,1,Statewide,3855,773,886,1737
Diagnostic Imaging and Testing,MRI: Head and neck,0,Adventist Med Ctr,33,449,642,1074
Diagnostic Imaging and Testing,MRI: Head and neck,0,Adventist Tillamook Reg Med Ctr,12,1397,1594,1602
Diagnostic Imaging and Testing,MRI: Head and neck,0,Asante Rogue Valley Med Ctr,42,909,938,2087
Diagnostic Imaging and Testing,MRI: Head and neck,0,Asante Three Rivers Med Ctr,27,663,887,2127
Diagnostic Imaging and Testing,MRI: Head and neck,0,Good Samaritan Regional Med Ctr,22,993,1837,2356
Diagnostic Imaging and Testing,MRI: Head and neck,0,Good Shepherd Med Ctr,15,2732,2884,2897
Diagnostic Imaging and Testing,MRI: Head and neck,0,Grande Ronde Hosp,22,2215,2306,2306
Diagnostic Imaging and Testing,MRI: Head and neck,0,Kaiser Sunnyside Med Ctr,1178,773,886,2401
Diagnostic Imaging and Testing,MRI: Head and neck,0,Kaiser Westside Med Ctr,512,773,886,2401
Diagnostic Imaging and Testing,MRI: Head and neck,0,Legacy Emanuel Med Ctr,96,713,1121,1778
Diagnostic Imaging and Testing,MRI: Head and neck,0,Legacy Good Samaritan Med Ctr,51,713,1167,1708
Diagnostic Imaging and Testing,MRI: Head and neck,0,Legacy Meridian Park Med Ctr,79,713,1129,1945
Diagnostic Imaging and Testing,MRI: Head and neck,0,Legacy Mount Hood Med Ctr,37,713,1167,2012
Diagnostic Imaging and Testing,MRI: Head and neck,0,Legacy Silverton Med Ctr,11,639,916,927
Diagnostic Imaging and Testing,MRI: Head and neck,0,McKenzie-Willamette Med Ctr,21,284,632,2420
Diagnostic Imaging and Testing,MRI: Head and neck,0,Mercy Med Ctr,60,1140,1924,2333
Diagnostic Imaging and Testing,MRI: Head and neck,0,Mid-Columbia Med Ctr,12,884,1991,2043
Diagnostic Imaging and Testing,MRI: Head and neck,0,OHSU Hosp,507,703,1185,1587
Diagnostic Imaging and Testing,MRI: Head and neck,0,PeaceHealth Peace Harbor Med Ctr,10,1651,1677,1734
Diagnostic Imaging and Testing,MRI: Head and neck,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,10,685,841,920
Diagnostic Imaging and Testing,MRI: Head and neck,0,Providence Hood River Mem Hosp,13,1527,1535,1883
Diagnostic Imaging and Testing,MRI: Head and neck,0,Providence Milwaukie Hosp,57,321,500,694
Diagnostic Imaging and Testing,MRI: Head and neck,0,Providence Newberg Med Ctr,42,331,387,1222
Diagnostic Imaging and Testing,MRI: Head and neck,0,Providence Portland Med Ctr,243,295,366,694
Diagnostic Imaging and Testing,MRI: Head and neck,0,Providence St Vincent Med Ctr,301,366,612,873
Diagnostic Imaging and Testing,MRI: Head and neck,0,Providence Willamette Falls Med Ctr,46,304,500,694
Diagnostic Imaging and Testing,MRI: Head and neck,0,Salem Health Salem Hosp,77,659,821,1138
Diagnostic Imaging and Testing,MRI: Head and neck,0,Salem Health West Valley Hosp,12,1151,1228,2119
Diagnostic Imaging and Testing,MRI: Head and neck,0,Samaritan Albany Gen Hosp,33,966,968,1837
Diagnostic Imaging and Testing,MRI: Head and neck,0,Samaritan Pacific Comm Hosp,16,1790,1837,1837
Diagnostic Imaging and Testing,MRI: Head and neck,0,Santiam Hosp,25,128,1070,1776
Diagnostic Imaging and Testing,MRI: Head and neck,0,Sky Lakes Med Ctr,23,1236,1498,2456
Diagnostic Imaging and Testing,MRI: Head and neck,0,St Alphonsus Med Ctr-Ontario,11,1781,1889,1889
Diagnostic Imaging and Testing,MRI: Head and neck,0,St Anthony Hospital,24,2632,2778,2917
Diagnostic Imaging and Testing,MRI: Head and neck,0,Tuality Comm Hosp,53,536,832,906
Diagnostic Imaging and Testing,MRI: Head and neck,0,Willamette Valley Med Ctr,34,690,717,1288
Diagnostic Imaging and Testing,MRI: Spine,1,Statewide,10381,713,961,1795
Diagnostic Imaging and Testing,MRI: Spine,0,Adventist Med Ctr,178,449,672,1218
Diagnostic Imaging and Testing,MRI: Spine,0,Adventist Tillamook Reg Med Ctr,67,1565,1736,2794
Diagnostic Imaging and Testing,MRI: Spine,0,Asante Rogue Valley Med Ctr,186,909,1044,2087
Diagnostic Imaging and Testing,MRI: Spine,0,Asante Three Rivers Med Ctr,175,873,1044,2124
Diagnostic Imaging and Testing,MRI: Spine,0,Blue Mountain Hosp,26,2004,2089,2156
Diagnostic Imaging and Testing,MRI: Spine,0,Columbia Mem Hosp,68,1606,1699,2966
Diagnostic Imaging and Testing,MRI: Spine,0,Coquille Valley Hosp,10,1859,1888,1973
Diagnostic Imaging and Testing,MRI: Spine,0,Curry Gen Hosp,38,2149,2426,2578
Diagnostic Imaging and Testing,MRI: Spine,0,Good Samaritan Regional Med Ctr,51,984,1818,2356
Diagnostic Imaging and Testing,MRI: Spine,0,Good Shepherd Med Ctr,100,3084,3097,3273
Diagnostic Imaging and Testing,MRI: Spine,0,Grande Ronde Hosp,103,2273,2371,3001
Diagnostic Imaging and Testing,MRI: Spine,0,Harney District Hosp,21,1690,1884,2102
Diagnostic Imaging and Testing,MRI: Spine,0,Kaiser Sunnyside Med Ctr,2273,741,850,1508
Diagnostic Imaging and Testing,MRI: Spine,0,Kaiser Westside Med Ctr,939,739,850,1490
Diagnostic Imaging and Testing,MRI: Spine,0,Lake District Hosp,21,1814,1905,1922
Diagnostic Imaging and Testing,MRI: Spine,0,Legacy Emanuel Med Ctr,247,1118,1642,2298
Diagnostic Imaging and Testing,MRI: Spine,0,Legacy Good Samaritan Med Ctr,187,727,1242,1642
Diagnostic Imaging and Testing,MRI: Spine,0,Legacy Meridian Park Med Ctr,270,713,1118,1401
Diagnostic Imaging and Testing,MRI: Spine,0,Legacy Mount Hood Med Ctr,127,713,1118,1708
Diagnostic Imaging and Testing,MRI: Spine,0,Legacy Silverton Med Ctr,86,718,786,982
Diagnostic Imaging and Testing,MRI: Spine,0,McKenzie-Willamette Med Ctr,21,272,632,2414
Diagnostic Imaging and Testing,MRI: Spine,0,Mercy Med Ctr,219,1113,2144,2604
Diagnostic Imaging and Testing,MRI: Spine,0,Mid-Columbia Med Ctr,69,1479,1962,2190
Diagnostic Imaging and Testing,MRI: Spine,0,OHSU Hosp,1084,1138,1629,2600
Diagnostic Imaging and Testing,MRI: Spine,0,PeaceHealth Peace Harbor Med Ctr,12,1795,1853,1885
Diagnostic Imaging and Testing,MRI: Spine,0,Pioneer Mem Hosp-Heppner,13,2711,2847,2967
Diagnostic Imaging and Testing,MRI: Spine,0,Providence Hood River Mem Hosp,99,1343,1349,1772
Diagnostic Imaging and Testing,MRI: Spine,0,Providence Milwaukie Hosp,272,280,397,694
Diagnostic Imaging and Testing,MRI: Spine,0,Providence Newberg Med Ctr,272,314,318,822
Diagnostic Imaging and Testing,MRI: Spine,0,Providence Portland Med Ctr,915,282,367,694
Diagnostic Imaging and Testing,MRI: Spine,0,Providence Seaside Hosp,55,465,2127,2287
Diagnostic Imaging and Testing,MRI: Spine,0,Providence St Vincent Med Ctr,582,310,506,993
Diagnostic Imaging and Testing,MRI: Spine,0,Providence Willamette Falls Med Ctr,329,282,485,708
Diagnostic Imaging and Testing,MRI: Spine,0,Salem Health Salem Hosp,208,525,842,1167
Diagnostic Imaging and Testing,MRI: Spine,0,Salem Health West Valley Hosp,31,899,960,1497
Diagnostic Imaging and Testing,MRI: Spine,0,Samaritan Albany Gen Hosp,177,966,968,1763
Diagnostic Imaging and Testing,MRI: Spine,0,Samaritan Lebanon Comm Hosp,18,1590,1745,2991
Diagnostic Imaging and Testing,MRI: Spine,0,Samaritan North Lincoln Hosp,34,1641,1763,2959
Diagnostic Imaging and Testing,MRI: Spine,0,Samaritan Pacific Comm Hosp,61,1590,1642,1763
Diagnostic Imaging and Testing,MRI: Spine,0,Santiam Hosp,70,1299,1802,2646
Diagnostic Imaging and Testing,MRI: Spine,0,Sky Lakes Med Ctr,148,1332,1498,2373
Diagnostic Imaging and Testing,MRI: Spine,0,Southern Coos Hosp and Hlth Ctr,10,1801,1925,1931
Diagnostic Imaging and Testing,MRI: Spine,0,St Alphonsus Med Ctr-Baker City,25,2301,2325,2350
Diagnostic Imaging and Testing,MRI: Spine,0,St Alphonsus Med Ctr-Ontario,40,779,1818,1888
Diagnostic Imaging and Testing,MRI: Spine,0,St Anthony Hospital,79,2744,2815,2956
Diagnostic Imaging and Testing,MRI: Spine,0,St Charles Med Ctr-Bend,16,1072,1667,1985
Diagnostic Imaging and Testing,MRI: Spine,0,Tuality Comm Hosp,156,703,906,1842
Diagnostic Imaging and Testing,MRI: Spine,0,Wallowa Mem Hosp,35,2464,2502,2611
Diagnostic Imaging and Testing,MRI: Spine,0,Willamette Valley Med Ctr,131,679,744,1216
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,1,Statewide,2096,1566,2330,3693
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Adventist Med Ctr,24,2322,3186,3186
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Asante Rogue Valley Med Ctr,109,3693,4856,4937
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Asante Three Rivers Med Ctr,78,3435,4239,4517
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Coquille Valley Hosp,11,2746,3463,3463
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Curry Gen Hosp,22,1953,2487,2745
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Good Samaritan Regional Med Ctr,50,3227,3408,3408
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Grande Ronde Hosp,38,2134,3906,4066
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Kaiser Sunnyside Med Ctr,285,2022,2022,2330
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Kaiser Westside Med Ctr,182,1068,2022,2330
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Legacy Emanuel Med Ctr,30,2357,2885,2933
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Legacy Good Samaritan Med Ctr,62,2621,3422,3953
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Legacy Meridian Park Med Ctr,36,2350,2933,3693
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Legacy Mount Hood Med Ctr,16,1541,2357,3157
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Legacy Silverton Med Ctr,31,1307,1786,1938
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,McKenzie-Willamette Med Ctr,29,2231,2623,3272
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Mercy Med Ctr,105,2662,3338,4662
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,OHSU Hosp,45,1866,2270,3020
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,192,1835,3547,4489
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Providence Hood River Mem Hosp,13,2671,3050,3352
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Providence Medford Med Ctr,39,476,2772,3625
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Providence Newberg Med Ctr,42,1117,1121,2224
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Providence Portland Med Ctr,180,1034,1064,2234
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Providence St Vincent Med Ctr,159,1034,1091,2591
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Providence Willamette Falls Med Ctr,55,995,1023,2054
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Salem Health Salem Hosp,37,1703,3173,3288
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Samaritan Albany Gen Hosp,11,2119,2119,3286
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Samaritan Lebanon Comm Hosp,19,2670,3019,3166
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Samaritan North Lincoln Hosp,18,2670,3007,3166
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Santiam Hosp,23,2808,3138,3267
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Sky Lakes Med Ctr,71,3148,6249,6321
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,St Alphonsus Med Ctr-Ontario,10,3810,3928,4179
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,St Anthony Hospital,19,2933,3506,3683
Diagnostic Imaging and Testing,Nuclear medicine: Cardiovascular,0,Tuality Comm Hosp,10,632,3370,3370
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,1,Statewide,909,625,1073,1571
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Asante Rogue Valley Med Ctr,33,991,1269,1555
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Asante Three Rivers Med Ctr,12,1006,1269,5390
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Good Samaritan Regional Med Ctr,13,253,892,1216
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Grande Ronde Hosp,12,352,701,876
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Kaiser Sunnyside Med Ctr,59,1276,1398,1600
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Kaiser Westside Med Ctr,51,1276,1398,1730
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Legacy Good Samaritan Med Ctr,62,912,1369,1948
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Legacy Meridian Park Med Ctr,29,307,1129,1520
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Mercy Med Ctr,32,85,666,1493
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,OHSU Hosp,39,854,1058,1351
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,76,1032,1564,3309
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Providence Hood River Mem Hosp,11,628,1689,1840
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Providence Portland Med Ctr,174,482,703,1269
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Providence St Vincent Med Ctr,131,425,664,1244
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Providence Willamette Falls Med Ctr,17,585,625,1034
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Salem Health Salem Hosp,47,623,877,1206
Diagnostic Imaging and Testing,Nuclear medicine: Endocrine,0,Tuality Comm Hosp,14,807,1051,1363
Diagnostic Imaging and Testing,Nuclear medicine: GI,1,Statewide,1675,890,1280,1628
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Adventist Med Ctr,10,797,797,1144
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Asante Rogue Valley Med Ctr,63,1269,1411,1599
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Asante Three Rivers Med Ctr,45,1269,1334,1570
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Columbia Mem Hosp,11,2718,4211,4400
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Good Samaritan Regional Med Ctr,39,1280,1628,1884
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Good Shepherd Med Ctr,14,1502,1702,1702
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Grande Ronde Hosp,22,1122,1181,1232
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Kaiser Sunnyside Med Ctr,169,1514,1734,1750
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Kaiser Westside Med Ctr,198,1514,1734,1750
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Legacy Emanuel Med Ctr,28,1070,1275,1412
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Legacy Good Samaritan Med Ctr,27,853,1185,1391
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Legacy Meridian Park Med Ctr,49,1008,1185,1412
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Legacy Mount Hood Med Ctr,12,731,1118,1391
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Legacy Silverton Med Ctr,13,818,866,1120
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,McKenzie-Willamette Med Ctr,12,1233,1244,2015
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Mercy Med Ctr,38,1208,1279,1534
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,OHSU Hosp,68,938,985,1116
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,104,876,1054,1229
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Providence Hood River Mem Hosp,12,418,742,1555
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Providence Medford Med Ctr,30,483,1386,1474
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Providence Milwaukie Hosp,34,583,792,976
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Providence Newberg Med Ctr,52,655,890,892
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Providence Portland Med Ctr,120,519,792,1191
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Providence St Vincent Med Ctr,154,577,792,1313
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Providence Willamette Falls Med Ctr,41,583,792,1166
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Salem Health Salem Hosp,88,545,1015,1183
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Samaritan Albany Gen Hosp,34,1150,1280,1583
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Samaritan Lebanon Comm Hosp,30,1116,1116,1707
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Samaritan North Lincoln Hosp,25,1092,1589,1707
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Santiam Hosp,13,979,1094,1376
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Sky Lakes Med Ctr,18,1620,1731,2146
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,St Anthony Hospital,38,1465,1817,1909
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Tuality Comm Hosp,11,820,1127,1481
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Willamette Valley Med Ctr,18,1038,1335,1346
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,1,Statewide,1481,709,1073,1538
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Adventist Med Ctr,11,675,912,1550
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Asante Rogue Valley Med Ctr,36,1230,1389,1423
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Asante Three Rivers Med Ctr,33,1312,1501,1501
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Columbia Mem Hosp,13,1580,2282,3231
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Good Samaritan Regional Med Ctr,33,1033,1130,1130
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Grande Ronde Hosp,10,1308,1308,1442
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Kaiser Sunnyside Med Ctr,130,1078,1538,1746
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Kaiser Westside Med Ctr,84,1078,1538,1824
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Legacy Emanuel Med Ctr,13,1294,1458,2163
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Legacy Good Samaritan Med Ctr,58,976,1200,2611
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Legacy Meridian Park Med Ctr,59,919,1276,2085
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Legacy Mount Hood Med Ctr,20,636,1073,2464
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Legacy Silverton Med Ctr,11,386,507,778
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Mercy Med Ctr,18,1190,1311,1634
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Mid-Columbia Med Ctr,10,972,1217,1366
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,OHSU Hosp,135,1024,1905,2660
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,136,928,995,1304
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Providence Hood River Mem Hosp,15,1327,2864,2864
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Providence Medford Med Ctr,29,977,1044,1189
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Providence Newberg Med Ctr,16,264,463,652
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Providence Portland Med Ctr,190,389,696,855
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Providence St Vincent Med Ctr,233,411,533,1024
